"source","related","count"
"sex","spectrum","6"
"sex","excellent","6"
"sex","tywapkabzn","6"
"sex","rhetlife","6"
"sex","sitting","6"
"sex","gendered","6"
"sex","wide","6"
"sex","xlkuv6vpsg","6"
"sex","rhetorical","7"
"sex","panel","8"
"sex","q30","9"
"sex","1964","10"
"sex","looks","10"
"sex","rhetandchange","12"
"sex","assault","18"
"sex","sexual","30"
